ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
ud0c67ykxz,1784161156650,akechico,2026-08-27,18:00,[大阪府] フェスティバルホール,paper,female,当日手渡し,なぴ,5.0,,,2026-07-16 00:19:16,2026-08-27 09:01:06,,,deleted,1,18000,公演中止の際のみ、チケット返送後に送料、手数料を差し引いた金額を返金いたします。その他いかなる場合があってもキャンセル、返金対応はいたしません。,True,2026-07
65tebhi624,1783515532079,akechico,2026-08-29,12:30,[大阪府] フェスティバルホール,paper,female,当日手渡し,@ki,5.0,,,2026-07-08 12:58:52,2026-08-28 15:01:13,,,deleted,1,30000,"ブロックは、ご希望額と共にお聞きください。
当日お取引をご希望してくださる方は、サイト通し額を引き下げること可能です。",True,2026-07
m2g0j4r5qv,1784274062918,akechico,2026-08-29,18:00,[大阪府] フェスティバルホール,paper,female,当日手渡し,14,5.0,,番手,2026-07-17 07:41:02,2026-08-28 23:01:09,,,listing,1,8500,"・宮野FC先行
・本確対応可能
・名古屋、大阪市内手渡し可能
・体調不良 / 交通機関の乱れ / 本人確認/ 一部出演者不在 / いかなる場合も返金致しかねます...",True,2026-07
sold_akechico_1784235881912_18700,1784235881912,akechico,2026-08-30,12:30,[大阪府] フェスティバルホール,paper,female,公演日7日前までに郵送,,,,,2026-07-16 21:04:41,2026-08-28 23:01:09,2026-08-27 07:17:28,,sold,1,18700,レターパックライトにて発送予定です。,False,2026-07
sold_akechico_1783067728432_23000,1783067728432,akechico,2026-08-30,12:30,[大阪府] フェスティバルホール,paper,female,入金後2〜3日以内に郵送又は都内事前手渡し,,,,,2026-07-03 08:35:28,2026-08-28 23:01:09,2026-08-27 07:17:28,,sold,1,23000,手渡しご希望の方は不可な日時もございます為コメントよりお問い合わせ下さい。購入後は中止以外は如何なる場合でもキャンセル返金不可,False,2026-07
sold_akechico_1784344186859_13754,1784344186859,akechico,2026-08-30,12:30,[大阪府] フェスティバルホール,paper,female,公演日14日前までに郵送,,,,,2026-07-18 03:09:46,2026-08-28 23:01:09,2026-08-27 07:17:28,,sold,2,13754,"FC該当名義/4名義中2番手/すり替えなし・下3桁提示可
公演中止以外、如何なる理由でも取引キャンセル不可",False,2026-07
edwtmuf5w0,1783295492087,akechico,2026-08-30,12:30,[大阪府] フェスティバルホール,paper,female,当日手渡し,_,5.0,,,2026-07-05 23:51:32,2026-08-28 23:01:09,,,listing,1,0,FC先行 公演中止の場合のみ、手数料と送料を差し引いた金額を返金致します。,True,2026-07
sold_akechico_1784819341170_25000,1784819341170,akechico,2026-08-30,12:30,[大阪府] フェスティバルホール,paper,female,当日手渡し、26日手渡し,,,,,2026-07-23 15:09:01,2026-08-28 23:01:09,2026-08-27 07:17:28,,sold,1,25000,公演中止の場合は手数料を引いたチケット代を返金いたします。,False,2026-07
