ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,sold_at,details_fetched,year_month
sold_key-to-lit-arena-tour-2026-neo-classics_1780053355971_10000,1780053355971,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,10000,2,公演二日前にログイン情報をお伝えします,electronic,female,"⚠️期限内に支払い番号お伝えしますので定価分(2連分)お支払いできる方のみご購入ください。【定価+手数料➕1.0/枚】です。

すり替えなし、QRごとのお譲りで...",2026-05-29 11:15:55,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
ltilmfe9c4,1780047768373,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,listing,0,2,同行,electronic,female,"5名義中2番手/初期当選/有効期限内/すり替えなし/下3桁提示可/着ブロ希望なし/座席未定

5名義中2番手

ご購入の方はプライベート出品いたしますのでお声が...",2026-05-29 09:42:48,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780142583189_30000,1780142583189,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,30000,1,手渡し,electronic,female,"2名義中1番手／該当名義/有効期限内／下3桁提示可能/着ブロ指定なし

座席未定のため、お席に関するクレームは一切受け付けません。体調不良、システムエラ、ランダ...",2026-05-30 12:03:03,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780029976844_12000,1780029976844,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,12000,2,同時入場,electronic,female,"少人数ランダムとなります。連番でご購入いただいた場合は連番でお渡しします。

・公演当日、開場30分前を目安に会場付近で待ち合わせをし、同時入場していただきます...",2026-05-29 04:46:16,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780024460264_0,1780024460264,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,0,1,同行,electronic,female,"初期当選/該当名義
すり替えなし 当方の同行です。
本確対応可。同行者登録をお願いいたします。
井上担不可。
入場後はご自由にしていただいて構いません。
公演中...",2026-05-29 03:14:20,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780024434580_35000,1780024434580,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,35000,2,公演日3日前までにログイン情報共有,electronic,female,"QR毎/初期当選/すり替え,重複なし/下3桁掲示可/同行者登録可/有効期限内/非該当名義(変更ボタン有)/着ブロ希望なし

・公演の3日前までにログイン情報をお...",2026-05-29 03:13:54,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
z20556r0si,1780194680566,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,listing,40000,2,同行,electronic,female,"4名義中3番手/全て該当/下3桁提示可能/すり替えなし

開場30分前に集合し同時入場致します。入場後チケットを回収し3番目に席を選択できます。
座席確認をさせ...",2026-05-31 02:31:20,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780148916783_20000,1780148916783,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,20000,1,同行,electronic,female,"初期当選/該当名義/本確対応◯/有効期限内名義/同行者登録◯
・開場時間に入場致しますので16:40（未定の為変更する場合があります）までに会場付近にてお集まり...",2026-05-30 13:48:36,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780195580887_25000,1780195580887,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,25000,2,公演前日にQRコード共有,electronic,female,"初期当選/下3桁掲示可
当日はご自身でQRコードを表示し入場してください。

同行者登録及び同意チェックはご購入様自身で行ってください。
万が一同行者登録による...",2026-05-31 02:46:20,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780129874562_20000,1780129874562,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,sold,20000,2,当日手渡し,paper,female,"3名義中2番手/該当名義/すり替えなし/下3桁提示可

主催者側からの公演中止の際のみ手数料を差し引いた額返金いたします。
ランダムエラー、本人確認、体調不良、...",2026-05-30 08:31:14,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
