ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
7l51m13k9m,1787983761829,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,入金後24時間以内にQRコード共有,e,5.0,,QR,2026-08-29 06:09:21,2026-08-29 14:01:10,,,deleted,2,85000,初期当選/指定席/重複すり替えなしQRごと/有効期限内/同行者登録可能,True,2026-08
td5cp9egp6,1787983342994,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,同行,ま,5.0,,同行,2026-08-29 06:02:22,2026-08-29 14:01:10,,,listing,1,60000,"佐藤担不可 / 初期当選 / 2連中1枚（当方と同行）/重複すり替えなし / 有効期限内 / 下3桁提示可/サイチェン可
本日までに定価分入金が可能でしたら5....",True,2026-08
o7qafo77hh,1787987564985,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,入金後24時間以内にQRコード共有,F♡,5.0,,QR,2026-08-29 07:12:44,2026-08-29 09:01:18,,,deleted,2,63000,"2連QR毎/初期当選/下3桁提示可/有効期間内/同行者登録可/過去選歴なし/発送物戻りなし
・公演日前日の夜に会員番号とパスワードを連絡ボードよりお伝え致します。
・同行者登録と当日のチェックは購入者様でお願い致します。
・当日まで座席未定の為、座席に関するクレームは一切お受けできません。
・入場後は開演までに速やかにログアウト、開演までに必ず受取連絡をお願い致します。
・入場時の本人確認、ランダムエラー、体調不良、一部メンバー不在、その他買い手様都合による返金キャンセル等、公演中止以外の如何なる場合も送金停止は受け付けませんのでご了承下さい。公演中止の際には仲介手数料を差し引いた金額を返金致します。
以上をご了承いただける方のみご購入をお願いします。",True,2026-08
sold_timelesz-live-tour-2026-momentum_1787988667954_60000,1787988667954,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,入金後24時間以内にログイン情報共有,,,,,2026-08-29 07:31:07,2026-08-29 08:01:10,,historical_unknown,sold,2,60000,"FC先行/初期当選/QR毎/有効期限内/変更ボタンあり/重複なし・すり替えなし/着ブロ希望なし/下3桁可能/公演日の1～2日前発送予定

公演日前日までに連絡ボ...",False,2026-08
i9kotelqz5,1787921940602,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,3名義中3番手,あ,5.0,,ランダム記載あり,2026-08-28 12:59:00,2026-08-29 14:01:10,,,listing,2,41000,"3名義中3番手2連
3名義とも制作開放での当選/全て指定席
すり替えなし/下3桁提示可/有効期限内

特別出品いたしますので、ご購入の際はメッセージにてご連絡お...",True,2026-08
9cqyazreno,1787989636547,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,公演日前日までにQRコード共有,U,5.0,,QR,2026-08-29 07:47:16,2026-08-29 14:01:10,,,listing,2,55000,"QR毎/初期当選/有効期限内名義/下3桁提示可/同行者登録可能/着ブロ希望なし/


※購入ご希望の方はメッセージへのご連絡をお願い致します。プラベ出品又はプラ...",True,2026-08
w87pdttts9,1787988785185,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,male,同行,MM,5.0,,同行,2026-08-29 07:33:05,2026-08-29 14:01:10,,,listing,1,60000,"1名義のみの当方（女性）と同行。
※下記事項をご承知のうえ、ご購入のほどよろしくお願いいたします。
※成人済み日本人のみのご購入とさせていただきます。

初期当...",True,2026-08
ck8ibjt8g6,1787990239385,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,同行,あ,5.0,,同行,2026-08-29 07:57:19,2026-08-29 14:01:10,2026-08-29 12:01:17,transition_observed,sold,1,42500,"2連中1枚
初期当選 /有効期限内/重複替えなし/

・公演当日、16:20頃会場付近待ち合わせの上、同時入場致します。詳細は当日ご連絡いたします。

・連番な...",True,2026-08
zbyfz8crzx,1787988748569,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,入金後24時間以内にQRコード共有,y,5.0,,QR,2026-08-29 07:32:28,2026-08-29 14:01:10,,,listing,2,48000,"QR毎/初期当選/有効期限内/重複すり替えなし/指定席
下3桁提示可/有効期限内名義/入場後サイチェン可
前回ドーム落選、前々回スタンド名義

購入希望の方はプ...",True,2026-08
kcxdkciy7q,1787992013086,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,同行,ERI,5.0,,ランダム,2026-08-29 08:26:53,2026-08-29 14:01:10,2026-08-29 13:01:18,transition_observed,sold,1,3000,"※プラベルまたは専用出品に移行しますのでお先にコメントお願いいたします。

2名義のみの指定席のみランダム配布になります。
公演当日は16:15に会場付近にお集...",True,2026-08
khvfm1s4g0,1787997153717,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,入金後24時間以内にQRコード共有,おにぎり,5.0,,QR,2026-08-29 09:52:33,2026-08-29 11:01:16,,,deleted,2,30000,"2連QR毎/初期当選/下3桁提示可/有効期間内/同行者登録可/過去当選歴なし/発送物戻りなし
・購入後会員番号とパスワードを連絡ボードよりお伝え致します。
・同行者登録と当日のチェックは購入者様でお願い致します。
・当日まで座席未定の為、座席に関するクレームは一切お受けできません。
・入場後は開演までに速やかにログアウト、開演までに必ず受取連絡をお願い致します。
・入場時の本人確認、ランダムエラー、体調不良、一部メンバー不在、その他買い手様都合による返金キャンセル等、公演中止以外の如何なる場合も送金停止は受け付けませんのでご了承下さい。公演中止の際には仲介手数料を差し引いた金額を返金致します。
以上をご了承いただける方のみご購入をお願いします。プライベート出品、プラベルに移行するため購入希望の方はメッセージお願いします。",True,2026-08
s7eg9yxvul,1787999477772,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,QRコード共有,a,5.0,,QR,2026-08-29 10:31:17,2026-08-29 14:01:10,,,listing,2,90000,"QRごと/初期当選/同行者登録可/有効期限内/発送物戻り無し/着ブロ希望無し

⭐️過去当選歴、座席の質問はお控えください。

公演前日の夜までにログイン情報を...",True,2026-08
8cdft6dvda,1787997735637,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,ランダム,まる,5.0,,ランダム,2026-08-29 10:02:15,2026-08-29 14:01:10,,,listing,1,33000,"プライベート出品いたしますので購入前にメッセージお願いいたします。

少人数ランダム

・複数名義所持している為、チケットはランダムでの配布になります。お席は選...",True,2026-08
b8r942zt6b,1788000799126,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,公演日前日にQRコード共有,m,5.0,,QR,2026-08-29 10:53:19,2026-08-29 12:01:17,,,deleted,2,40000,"QR毎/制作開放/有効期限内名義/下3桁提示可/同行者登録可能/着ブロ希望なし/郵送物戻りなし
※購入ご希望の方はメッセージへのご連絡をお願い致します。プラベルでのお取引に変更させていただきます。※
公演前日の夜にログイン情報を連絡ボードにてお伝え致します。
購入者様ご自身で同行者登録と同意チェックを行なっていただきます。必ず2名分の同意チェック完了後に、QR表示をしていただきますようご注意ください。
入場後は即時ログアウトしていただき、受け取りの連絡をお願い致します。
当日の公演中止以外はいかなる理由でも返金はいたしかねますので、ご了承いただける方のみご購入ください。
公演中止の場合のみ、手数料差し引いた金額を返金させて頂きます。
またお座席に関するクレームは一切受け付けておりません。
トラブル防止のため日本語がわかる方のみご購入ください。
宜しくお願い致します。",True,2026-08
39egrbmqrn,1788001283906,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,同行,おき,4.8,,ランダム,2026-08-29 11:01:23,2026-08-29 14:01:10,,,listing,2,51800,"ファンクラブ先行　有効期限内　指定席のみ複数名義所持　必ず2連でのお渡し　開演15-20分前のお渡し　※中相場買取可

チケットを複数所持している為、
公演当日...",True,2026-08
