year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,current_active_tickets,current_avg_price,current_min_price,current_max_price,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-09,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,132,81,78,33027.246753246756,5000,65000,48,3,28329.886363636364,0,65000
2026-09,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,76,61,53,33144.96078431373,8000,65000,15,0,33485.43421052631,0,80000
2026-09,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,82,68,63,29584.46551724138,100,55000,12,2,26012.182926829268,0,55000
2026-09,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,93,80,71,39085.71428571428,12000,80000,10,3,35890.720430107525,0,80000
2026-09,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,86,79,70,45558.57142857143,12000,78000,7,0,45169.767441860466,12000,78000
2026-09,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,17:30,セキスイハイムスーパーアリーナ,111,89,78,48995.831168831166,15000,130000,22,0,44784.045045045044,0,130000
