year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-08,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,197,0,139,58,30486.71573604061,5200,54000
2026-08,acees-arena-tour-v,2026-08-29,17:30,Asueアリーナ大阪,232,0,180,52,33027.28879310345,0,470000
2026-08,acees-arena-tour-v,2026-08-30,12:30,Asueアリーナ大阪,267,46,166,55,34461.69662921348,0,999999
2026-08,acees-arena-tour-v,2026-08-30,17:30,Asueアリーナ大阪,303,38,178,87,48572.184818481845,0,120000
